,date,btc_price,eth_price,ltc_price,doge_price,dash_price,xmr_price,xrp_price
210,2018-09-02,7249.0,294.518,65.663,0.00544,214.37,121.113,0.341
211,2018-09-01,7114.0,290.451,64.838,0.00572,210.596,120.687,0.338
212,2018-08-31,6994.0,281.008,60.871,0.00387,188.89,109.524,0.328
213,2018-08-30,6947.0,281.98,60.07,0.00295,181.644,100.207,0.326
214,2018-08-29,7067.0,292.25,62.081,0.00262,192.86,104.863,0.35
215,2018-08-28,6997.0,288.3,61.238,0.00254,184.446,104.889,0.349
216,2018-08-27,6733.0,276.849,57.659,0.00242,150.575,97.16,0.328
217,2018-08-26,6691.0,273.774,56.885,0.00241,141.898,92.611,0.323
218,2018-08-25,6731.0,279.654,57.877,0.00242,143.721,93.787,0.326
219,2018-08-24,6566.0,276.374,57.051,0.00238,140.639,90.464,0.325
220,2018-08-23,6445.0,273.504,55.792,0.00235,138.779,89.831,0.323
221,2018-08-22,6592.0,281.285,56.813,0.00245,144.513,94.104,0.341
222,2018-08-21,6411.0,278.005,55.195,0.00239,142.677,94.181,0.333
223,2018-08-20,6462.0,291.302,56.6,0.00243,150.836,98.494,0.339
224,2018-08-19,6412.0,297.009,57.379,0.00241,154.12,97.022,0.348
225,2018-08-18,6459.0,302.88,58.307,0.00245,159.058,99.153,0.344
226,2018-08-17,6474.0,299.95,57.87,0.00238,158.565,95.604,0.317
227,2018-08-16,6351.0,288.016,55.768,0.00228,153.764,90.683,0.288
228,2018-08-15,6377.0,287.24,56.128,0.00233,152.993,90.08,0.289
229,2018-08-14,6064.0,263.702,52.078,0.00217,138.101,82.456,0.266
230,2018-08-13,6356.0,308.434,58.511,0.0024,160.686,93.467,0.307
231,2018-08-12,6316.0,321.542,59.685,0.0024,166.806,94.347,0.302
232,2018-08-11,6195.0,318.651,57.065,0.00239,166.451,91.877,0.296
233,2018-08-10,6414.0,356.341,61.73,0.00252,182.251,97.559,0.34
234,2018-08-09,6398.0,361.315,63.02,0.00247,178.55,99.196,0.337
235,2018-08-08,6454.0,366.405,64.73,0.0025,181.476,100.356,0.353
236,2018-08-07,7000.0,403.193,73.369,0.00277,201.04,114.141,0.413
237,2018-08-06,7006.0,407.729,74.418,0.00284,205.779,116.193,0.426
238,2018-08-05,7009.0,406.868,73.792,0.00285,205.427,115.034,0.431
239,2018-08-04,7260.0,412.101,75.737,0.0029,207.873,117.314,0.434
240,2018-08-03,7403.0,410.039,76.074,0.00292,207.624,118.915,0.437
241,2018-08-02,7598.0,415.863,76.978,0.00302,213.016,125.783,0.435
242,2018-08-01,7580.0,420.923,77.49,0.00301,218.998,123.16,0.449
243,2018-07-31,7929.0,441.036,79.476,0.0031,224.435,126.789,0.437
244,2018-07-30,8142.0,459.605,82.868,0.00326,236.757,132.813,0.449
245,2018-07-29,8206.0,465.904,83.911,0.00335,240.086,138.065,0.451
246,2018-07-28,8180.0,467.496,83.783,0.00343,241.79,140.061,0.453
247,2018-07-27,8021.0,464.927,83.483,0.0034,243.078,138.528,0.448
248,2018-07-26,8199.0,476.029,86.544,0.00351,246.053,142.144,0.464
249,2018-07-25,8254.0,474.714,87.05,0.00354,247.743,142.437,0.456
250,2018-07-24,8068.0,467.81,86.204,0.00354,247.359,139.668,0.458
251,2018-07-23,7681.0,459.853,83.741,0.00353,245.982,134.65,0.452
