,date,open,high,low,close,volume,marketcap
770,2017-02-18,3.83,3.83,3.78,3.79,3209270,188971684
771,2017-02-17,3.78,3.84,3.77,3.83,4001350,190872607
772,2017-02-16,3.8,3.82,3.78,3.79,3991580,188646305
773,2017-02-15,3.77,3.82,3.76,3.81,2683590,189710832
774,2017-02-14,3.72,3.77,3.71,3.77,3994400,187737973
775,2017-02-13,3.77,3.77,3.7,3.72,4721650,185050282
776,2017-02-12,3.8,3.8,3.75,3.76,2706320,187313756
777,2017-02-11,3.78,3.8,3.77,3.79,3340840,188691480
778,2017-02-10,3.8,3.81,3.7,3.78,7918280,187848135
779,2017-02-09,4.03,4.08,3.71,3.8,21297300,188856895
780,2017-02-08,4.05,4.08,3.97,4.02,7016980,199965754
781,2017-02-07,4.05,4.08,4.04,4.04,6570650,200760049
782,2017-02-06,4.06,4.08,4.04,4.04,4972300,200881367
783,2017-02-05,4.07,4.07,4.02,4.04,4635400,200777192
784,2017-02-04,4.08,4.1,4.02,4.06,6926300,201470796
785,2017-02-03,4.08,4.11,4.04,4.08,8548470,202630541
786,2017-02-02,4.08,4.09,4.02,4.09,5175450,202711223
787,2017-02-01,4.08,4.13,4.03,4.08,7753930,202156361
788,2017-01-31,4.02,4.1,4.02,4.08,15799800,202257334
789,2017-01-30,3.86,4.02,3.86,4.02,10192700,199351481
790,2017-01-29,3.85,3.86,3.84,3.85,2804420,190910291
791,2017-01-28,3.85,3.87,3.84,3.85,3305270,190898187
792,2017-01-27,3.84,3.86,3.81,3.86,5049680,190988507
793,2017-01-26,3.71,3.84,3.71,3.83,5817220,189862991
794,2017-01-25,3.79,3.8,3.69,3.71,6863540,183877336
795,2017-01-24,3.84,3.84,3.78,3.79,2629220,187365782
796,2017-01-23,3.86,3.86,3.82,3.84,2725110,189765618
797,2017-01-22,3.9,3.92,3.82,3.84,2630830,190064917
798,2017-01-21,3.89,3.92,3.89,3.9,2717700,193053346
799,2017-01-20,3.86,3.91,3.84,3.89,3427180,192281661
800,2017-01-19,3.84,3.93,3.81,3.86,4090650,190764055
801,2017-01-18,3.94,3.95,3.78,3.84,4321020,189598850
802,2017-01-17,3.91,3.95,3.85,3.94,4816480,194519766
803,2017-01-16,3.92,3.96,3.87,3.9,8159260,192658075
804,2017-01-15,3.89,3.95,3.88,3.93,9341360,193747582
805,2017-01-14,3.89,3.95,3.87,3.9,3999180,192438807
806,2017-01-13,3.95,3.96,3.8,3.89,7720620,191902491
807,2017-01-12,3.84,4.02,3.78,3.96,13690900,195389834
808,2017-01-11,4.6,4.64,3.8,3.85,21863300,189604833
809,2017-01-10,4.3,4.68,4.29,4.59,15157900,226238984
810,2017-01-09,4.0,4.36,3.93,4.3,11165200,211907900
811,2017-01-08,3.96,4.02,3.9,3.99,11728600,196710013
812,2017-01-07,3.86,3.96,3.61,3.96,14628400,194746308
813,2017-01-06,4.3,4.35,3.84,3.86,11063700,190038395
814,2017-01-05,4.91,4.95,4.23,4.29,19196000,211212252
815,2017-01-04,4.63,4.84,4.63,4.84,13762400,237966484
816,2017-01-03,4.66,4.73,4.56,4.63,10055700,227483921
817,2017-01-02,4.52,4.74,4.48,4.65,14595300,228536448
818,2017-01-01,4.33,4.52,4.33,4.51,11337500,221718275
819,2016-12-31,4.39,4.4,4.29,4.33,9210720,212503138
820,2016-12-30,4.56,4.56,4.29,4.39,11912800,215644689
821,2016-12-29,4.58,4.63,4.51,4.56,9352850,223676935
822,2016-12-28,4.49,4.67,4.49,4.57,10319300,224386448
823,2016-12-27,4.37,4.58,4.33,4.47,9294450,219307108
824,2016-12-26,4.35,4.47,4.28,4.36,7603100,213643935
825,2016-12-25,4.56,4.57,4.22,4.35,11363100,213168342
826,2016-12-24,4.65,4.77,4.42,4.55,19773600,223125158
