Symbol,Week,Open,High,Low,Close,Volume
DOGE,2015-06-30,0.00015652,0.00022217,0.00014043,0.00020024,114567534.88400000
DOGE,2015-05-31,0.00010875,0.00056770,0.00008611,0.00015651,320228641.57999998
DOGE,2015-04-30,0.00012088,0.00013372,0.00008291,0.00010437,235570573.00200000
DOGE,2015-03-31,0.00014544,0.00015178,0.00012052,0.00012088,315387947.21200001
DOGE,2015-02-28,0.00014135,0.00015741,0.00012290,0.00014544,233805926.27200001
DOGE,2015-01-31,0.00017893,0.00089624,0.00011311,0.00014135,418936960.09200001
DOGE,2014-12-31,0.00023490,0.00024406,0.00008721,0.00017893,448917836.21899998
DOGE,2014-11-30,0.00023982,0.00026878,0.00011665,0.00023490,224680434.63900000
DOGE,2014-10-31,0.00040518,0.00043692,0.00016292,0.00024167,96815797.47730000
DOGE,2014-09-30,0.00013461,0.00052706,0.00009897,0.00039169,55882429.63940000
DOGE,2014-08-31,0.00021000,0.00022100,0.00001039,0.00013461,62944949.72840000
DOGE,2014-07-31,0.00029000,0.00035000,0.00018522,0.00021000,45404649.94670000
DOGE,2014-06-30,0.00031015,0.00056931,0.00025260,0.00029000,7924042.16879000
DOGE,2014-05-31,0.00054631,0.00069042,0.00035970,0.00035970,32619444.65970000
DASH,2019-04-03,106.76856817,134.46486896,106.36198308,125.55734882,883795.46450200
DASH,2019-03-31,88.41843072,106.87150711,83.83327871,106.71899319,9015637.75398000
DASH,2019-02-28,72.84969742,92.78855305,66.95908377,88.42399017,6513575.82331000
DASH,2019-01-31,83.25076364,90.63306747,69.39002651,72.84159226,3772967.57916000
DASH,2018-12-31,95.36271295,107.23592379,60.94801467,83.26568964,2545623.94075000
DASH,2018-11-30,154.50593660,175.34210283,88.05937256,95.34511549,1143647.83751000
DASH,2018-10-31,188.40090671,189.21234288,150.59085685,154.54232877,354004.02301000
DASH,2018-09-30,193.65565636,222.03599305,162.47481253,188.47193474,672696.86624400
DASH,2018-08-31,218.20809750,227.81955963,134.34721201,193.87077184,666110.04162900
DASH,2018-07-31,239.99027492,286.60310135,213.68827951,219.04571202,533922.11321500
DASH,2018-06-30,309.08319538,337.93950308,220.22185778,240.12330209,459758.77569300
DASH,2018-05-31,473.78132017,522.80830346,289.38998821,309.06660692,576711.38717500
DASH,2018-04-30,308.83421360,542.85442101,286.24471080,473.37180779,704855.88450300
DASH,2018-03-31,584.18322645,621.63349422,305.37963643,308.65896771,636742.96281600
DASH,2018-02-28,704.51741686,743.01319915,386.22983193,584.39755253,675886.58866600
DASH,2018-01-31,1018.92501018,1250.70986751,616.01922617,699.53604446,745917.62968700
DASH,2017-12-31,758.96017778,1539.73172628,626.93086898,1018.79216217,1154845.72667000
DASH,2017-11-30,277.65605357,809.47785410,251.30517123,756.13207564,1416679.53127000
DASH,2017-10-31,329.48501396,330.25192679,263.55049627,278.01515605,490668.70642200
DASH,2017-09-30,380.92109612,400.21408738,221.22633166,330.14571851,701888.11997400
DASH,2017-08-31,175.94407569,408.75789610,175.38514193,382.83169472,665488.87049100
DASH,2017-07-31,173.68981388,220.82738144,119.67783284,176.63418552,1294646.09110000
